"Query","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"гильотина polar ремонт спб","2026-07-23 - 2026-08-23","544.00","0.00","0.00","3.44","","23.00","0.00","0.00","341.00","0.00","0.00","2.56","","177.00","0.00","0.00","5.32","","3.00","0.00","0.00","11.00",""
"ремонт гильотины в спб","2026-07-23 - 2026-08-23","449.00","0.00","0.00","7.01","","0.00","0.00","","5.00","0.00","0.00","2.40","","434.00","0.00","0.00","6.96","","10.00","0.00","0.00","11.20",""
"ремонт гильотины спб","2026-07-23 - 2026-08-23","425.00","0.00","0.00","7.27","","0.00","0.00","","4.00","0.00","0.00","2.75","","414.00","0.00","0.00","7.25","","7.00","0.00","0.00","11.14",""
"ремонт советских гильотин в спб","2026-07-23 - 2026-08-23","324.00","0.00","0.00","6.07","","1.00","0.00","0.00","41.00","0.00","0.00","2.71","","276.00","0.00","0.00","6.49","","6.00","0.00","0.00","11.00",""
"ремонт то гильотинных ножниц в спб","2026-07-23 - 2026-08-23","223.00","0.00","0.00","6.52","","2.00","0.00","0.00","19.00","0.00","0.00","2.68","","193.00","0.00","0.00","6.75","","9.00","0.00","0.00","11.11",""
"отремонтировать ножницы листовые гильотину в спб","2026-07-23 - 2026-08-23","205.00","0.00","0.00","5.97","","0.00","0.00","","19.00","0.00","0.00","2.95","","180.00","0.00","0.00","6.12","","6.00","0.00","0.00","11.00",""
"ремонт гильотины по металлу srfatlant","2026-07-23 - 2026-08-23","195.00","0.00","0.00","6.86","","0.00","0.00","","16.00","0.00","0.00","2.81","","169.00","0.00","0.00","6.99","","10.00","0.00","0.00","11.00",""
"ремонт гильотины","2026-07-23 - 2026-08-23","172.00","1.00","0.58","7.65","3.00","0.00","0.00","","4.00","1.00","25.00","2.75","3.00","150.00","0.00","0.00","7.35","","18.00","0.00","0.00","11.22",""
"ремонт гильотины в спб srfatlant","2026-07-23 - 2026-08-23","159.00","0.00","0.00","7.56","","0.00","0.00","","3.00","0.00","0.00","3.00","","154.00","0.00","0.00","7.60","","2.00","0.00","0.00","11.00",""
"ремонт листогибочного станка","2026-07-23 - 2026-08-23","144.00","0.00","0.00","8.47","","0.00","0.00","","0.00","0.00","","","","125.00","0.00","0.00","8.05","","19.00","0.00","0.00","11.26",""
"гильотина polar ремонт спб srfatlant","2026-07-23 - 2026-08-23","136.00","0.00","0.00","4.27","","0.00","0.00","","54.00","0.00","0.00","2.85","","82.00","0.00","0.00","5.21","","0.00","0.00","","",""
"ремонт советских гильотин в спб srfatlant","2026-07-23 - 2026-08-23","135.00","0.00","0.00","7.16","","0.00","0.00","","6.00","0.00","0.00","2.83","","124.00","0.00","0.00","7.21","","5.00","0.00","0.00","11.00",""
"ремонт гильотин","2026-07-23 - 2026-08-23","104.00","0.00","0.00","7.36","","1.00","0.00","0.00","1.00","0.00","0.00","3.00","","96.00","0.00","0.00","7.23","","6.00","0.00","0.00","11.17",""
"ремонт то гильотинных ножниц в спб srfatlant","2026-07-23 - 2026-08-23","96.00","0.00","0.00","7.28","","0.00","0.00","","3.00","0.00","0.00","3.00","","90.00","0.00","0.00","7.30","","3.00","0.00","0.00","11.00",""
"ремонт гильотин srfatlant","2026-07-23 - 2026-08-23","89.00","0.00","0.00","7.88","","0.00","0.00","","1.00","0.00","0.00","2.00","","87.00","0.00","0.00","7.91","","1.00","0.00","0.00","11.00",""
"ремонт гильотины srfatlant","2026-07-23 - 2026-08-23","86.00","0.00","0.00","8.07","","0.00","0.00","","4.00","0.00","0.00","2.75","","76.00","0.00","0.00","8.11","","6.00","0.00","0.00","11.17",""
"ремонт гильотины по металлу","2026-07-23 - 2026-08-23","81.00","2.00","2.47","6.75","5.00","0.00","0.00","","5.00","0.00","0.00","2.80","","71.00","2.00","2.82","6.69","5.00","5.00","0.00","0.00","11.60",""
"ремонт гильотины спб srfatlant","2026-07-23 - 2026-08-23","73.00","0.00","0.00","7.38","","0.00","0.00","","1.00","0.00","0.00","2.00","","71.00","0.00","0.00","7.41","","1.00","0.00","0.00","11.00",""
"ремонт вальцовочный станок","2026-07-23 - 2026-08-23","62.00","0.00","0.00","7.42","","0.00","0.00","","1.00","0.00","0.00","3.00","","55.00","0.00","0.00","7.07","","6.00","0.00","0.00","11.33",""
"ermaksan ремонт","2026-07-23 - 2026-08-23","52.00","1.00","1.92","6.52","5.00","0.00","0.00","","1.00","0.00","0.00","3.00","","50.00","1.00","2.00","6.48","5.00","1.00","0.00","0.00","12.00",""
"sahinler ремонт","2026-07-23 - 2026-08-23","41.00","0.00","0.00","6.05","","0.00","0.00","","0.00","0.00","","","","40.00","0.00","0.00","5.90","","1.00","0.00","0.00","12.00",""
"ремонт листогибочного станка srfatlant","2026-07-23 - 2026-08-23","41.00","0.00","0.00","7.54","","0.00","0.00","","0.00","0.00","","","","39.00","0.00","0.00","7.36","","2.00","0.00","0.00","11.00",""
"отремонтировать ножницы листовые гильотину в спб srfatlant","2026-07-23 - 2026-08-23","34.00","0.00","0.00","8.29","","0.00","0.00","","1.00","0.00","0.00","3.00","","31.00","0.00","0.00","8.29","","2.00","0.00","0.00","11.00",""
"ремонт гильотины для рубки металла","2026-07-23 - 2026-08-23","33.00","1.00","3.03","9.39","6.00","0.00","0.00","","3.00","0.00","0.00","3.00","","19.00","1.00","5.26","8.68","6.00","11.00","0.00","0.00","12.36",""
"диагностика выезд и восстановление станка","2026-07-23 - 2026-08-23","30.00","0.00","0.00","7.27","","0.00","0.00","","6.00","0.00","0.00","3.00","","18.00","0.00","0.00","7.44","","6.00","0.00","0.00","11.00",""
"ремонт гильотина для рубки металла","2026-07-23 - 2026-08-23","29.00","0.00","0.00","8.90","","0.00","0.00","","0.00","0.00","","","","24.00","0.00","0.00","8.21","","5.00","0.00","0.00","12.20",""
"ремонт станков","2026-07-23 - 2026-08-23","25.00","0.00","0.00","37.36","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","25.00","0.00","0.00","37.36",""
"ремонт ленточных пил по металлу","2026-07-23 - 2026-08-23","20.00","0.00","0.00","16.55","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","20.00","0.00","0.00","16.55",""
"ремонт трубогибов","2026-07-23 - 2026-08-23","20.00","0.00","0.00","10.45","","0.00","0.00","","1.00","0.00","0.00","3.00","","13.00","0.00","0.00","5.77","","6.00","0.00","0.00","21.83",""
"ремонт листогибочный станок","2026-07-23 - 2026-08-23","16.00","0.00","0.00","8.06","","0.00","0.00","","1.00","0.00","0.00","3.00","","11.00","0.00","0.00","7.45","","4.00","0.00","0.00","11.00",""
"ремонт гидравлического трубогиба","2026-07-23 - 2026-08-23","16.00","0.00","0.00","17.06","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","7.60","","11.00","0.00","0.00","21.36",""
"ремонт трубогиба цена","2026-07-23 - 2026-08-23","14.00","0.00","0.00","2.64","","8.00","0.00","0.00","3.00","0.00","0.00","2.00","","2.00","0.00","0.00","6.00","","1.00","0.00","0.00","11.00",""
"ремонт ручного трубогиба","2026-07-23 - 2026-08-23","14.00","0.00","0.00","11.43","","0.00","0.00","","3.00","0.00","0.00","2.67","","8.00","0.00","0.00","5.50","","3.00","0.00","0.00","36.00",""
"ремонт ленточных пил","2026-07-23 - 2026-08-23","10.00","0.00","0.00","11.30","","1.00","0.00","0.00","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","8.00","","7.00","0.00","0.00","14.43",""
"24 станки ру","2026-07-23 - 2026-08-23","9.00","3.00","33.33","1.78","1.33","4.00","2.00","50.00","5.00","1.00","20.00","2.40","2.00","0.00","0.00","","","","0.00","0.00","","",""
"обслуживание то станка гильотина srfatlant","2026-07-23 - 2026-08-23","8.00","0.00","0.00","8.00","","0.00","0.00","","1.00","0.00","0.00","2.00","","6.00","0.00","0.00","8.50","","1.00","0.00","0.00","11.00",""
"ремонт и обслуживание гильотины","2026-07-23 - 2026-08-23","7.00","2.00","28.57","7.57","6.00","0.00","0.00","","1.00","0.00","0.00","3.00","","5.00","2.00","40.00","6.80","6.00","1.00","0.00","0.00","16.00",""
"89939089837","2026-07-23 - 2026-08-23","7.00","3.00","42.86","3.57","2.33","0.00","0.00","","4.00","3.00","75.00","2.50","2.33","3.00","0.00","0.00","5.00","","0.00","0.00","","",""
"ремонт обкатной станок","2026-07-23 - 2026-08-23","7.00","0.00","0.00","8.71","","0.00","0.00","","0.00","0.00","","","","7.00","0.00","0.00","8.71","","0.00","0.00","","",""
"ремонт листогиба","2026-07-23 - 2026-08-23","6.00","0.00","0.00","7.83","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","7.20","","1.00","0.00","0.00","11.00",""
"ремонт гильотинных ножниц москва","2026-07-23 - 2026-08-23","6.00","0.00","0.00","6.50","","0.00","0.00","","1.00","0.00","0.00","3.00","","5.00","0.00","0.00","7.20","","0.00","0.00","","",""
"ремонт ленточных пил по дереву","2026-07-23 - 2026-08-23","6.00","0.00","0.00","9.83","","0.00","0.00","","1.00","0.00","0.00","3.00","","1.00","0.00","0.00","9.00","","4.00","0.00","0.00","11.75",""
"пётр листогиб верещагино","2026-07-23 - 2026-08-23","5.00","0.00","0.00","11.60","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","4.00","0.00","0.00","12.25",""
"где в тайшете можно заварить пилы для ленточной пилорамы","2026-07-23 - 2026-08-23","5.00","2.00","40.00","2.60","1.00","1.00","2.00","200.00","3.00","0.00","0.00","2.67","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"ремонт станков и оборудования","2026-07-23 - 2026-08-23","5.00","0.00","0.00","14.20","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","4.00","0.00","0.00","15.50",""
"ремонт ленточных пил по дереву в г стерлитамаке адреса и телефоны","2026-07-23 - 2026-08-23","5.00","0.00","0.00","8.80","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","8.80","","0.00","0.00","","",""
