"Path","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"/remont-gilotin-murino.html","2026-07-23 - 2026-08-23","1046.00","0.00","0.00","6.83","","1.00","0.00","0.00","68.00","0.00","0.00","2.76","","952.00","0.00","0.00","7.02","","25.00","0.00","0.00","11.12",""
"/blog-remont-gilotiny-cena-realnie-primeri.html","2026-07-23 - 2026-08-23","1032.00","6.00","0.58","7.47","4.67","1.00","0.00","0.00","44.00","2.00","4.55","2.77","2.50","922.00","4.00","0.43","7.43","5.75","65.00","0.00","0.00","11.37",""
"/remont-gilotin-petergof.html","2026-07-23 - 2026-08-23","804.00","0.00","0.00","6.40","","2.00","0.00","0.00","56.00","0.00","0.00","2.79","","731.00","0.00","0.00","6.59","","15.00","0.00","0.00","11.07",""
"/remont-gilotin-shlisselburg.html","2026-07-23 - 2026-08-23","374.00","0.00","0.00","3.29","","13.00","0.00","0.00","258.00","0.00","0.00","2.58","","102.00","0.00","0.00","5.32","","1.00","0.00","0.00","11.00",""
"/","2026-07-23 - 2026-08-23","295.00","9.00","3.05","12.93","1.78","7.00","5.00","71.43","14.00","3.00","21.43","2.64","2.00","169.00","1.00","0.59","6.99","5.00","105.00","0.00","0.00","24.67",""
"/remont-gilotin.html","2026-07-23 - 2026-08-23","195.00","6.00","3.08","7.79","6.00","1.00","0.00","0.00","11.00","1.00","9.09","2.55","2.00","158.00","5.00","3.16","7.39","6.80","25.00","0.00","0.00","12.96",""
"/remont-listogibov-sankt-peterburg.html","2026-07-23 - 2026-08-23","192.00","2.00","1.04","8.13","5.50","0.00","0.00","","1.00","0.00","0.00","3.00","","171.00","2.00","1.17","7.81","5.50","20.00","0.00","0.00","11.15",""
"/blog-kak-opredelit-chto-listogibu-nuzhen-remont.html","2026-07-23 - 2026-08-23","186.00","9.00","4.84","7.61","2.78","5.00","3.00","60.00","14.00","3.00","21.43","3.00","3.00","130.00","3.00","2.31","7.08","4.33","37.00","0.00","0.00","12.11",""
"/remont-gilotin-lomonosov.html","2026-07-23 - 2026-08-23","124.00","0.00","0.00","3.55","","6.00","0.00","0.00","69.00","0.00","0.00","2.71","","49.00","0.00","0.00","5.04","","0.00","0.00","","",""
"/remont-gilotin-sertolovo.html","2026-07-23 - 2026-08-23","85.00","0.00","0.00","4.28","","3.00","0.00","0.00","30.00","0.00","0.00","2.37","","52.00","0.00","0.00","5.58","","0.00","0.00","","",""
"/blog-remont-chpu-stoyki-delem-instrukciya.html","2026-07-23 - 2026-08-23","85.00","7.00","8.24","8.01","8.71","2.00","0.00","0.00","6.00","1.00","16.67","2.83","2.00","58.00","3.00","5.17","7.31","4.33","19.00","3.00","15.79","12.53","15.33"
"/remont-valtsev.html","2026-07-23 - 2026-08-23","67.00","2.00","2.99","7.76","8.00","1.00","0.00","0.00","1.00","0.00","0.00","3.00","","56.00","2.00","3.57","7.38","8.00","9.00","0.00","0.00","11.44",""
"/remont-lentochnyh-pil.html","2026-07-23 - 2026-08-23","37.00","3.00","8.11","10.86","4.33","1.00","0.00","0.00","4.00","1.00","25.00","2.75","2.00","12.00","2.00","16.67","6.42","5.50","20.00","0.00","0.00","15.65",""
"/remont-trubogibov.html","2026-07-23 - 2026-08-23","30.00","1.00","3.33","14.17","10.00","0.00","0.00","","1.00","0.00","0.00","2.00","","12.00","1.00","8.33","6.92","10.00","17.00","0.00","0.00","20.00",""
"/remont-listogibov.html","2026-07-23 - 2026-08-23","29.00","0.00","0.00","7.79","","0.00","0.00","","2.00","0.00","0.00","2.00","","22.00","0.00","0.00","7.45","","5.00","0.00","0.00","11.60",""
"/blog-remont-valtsev.html","2026-07-23 - 2026-08-23","20.00","0.00","0.00","6.80","","0.00","0.00","","0.00","0.00","","","","19.00","0.00","0.00","6.53","","1.00","0.00","0.00","12.00",""
"/index.html","2026-07-23 - 2026-08-23","18.00","0.00","0.00","5.72","","0.00","0.00","","2.00","0.00","0.00","3.00","","16.00","0.00","0.00","6.06","","0.00","0.00","","",""
"/blog-remont-lentochnyh-pil.html","2026-07-23 - 2026-08-23","12.00","0.00","0.00","15.25","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.00","","9.00","0.00","0.00","18.33",""
"/uslugi.html","2026-07-23 - 2026-08-23","11.00","1.00","9.09","5.82","2.00","0.00","0.00","","6.00","1.00","16.67","2.33","2.00","3.00","0.00","0.00","9.33","","2.00","0.00","0.00","11.00",""
"/remont-trubogibov-novosibirsk.html","2026-07-23 - 2026-08-23","10.00","0.00","0.00","6.70","","1.00","0.00","0.00","3.00","0.00","0.00","3.00","","4.00","0.00","0.00","8.75","","2.00","0.00","0.00","11.00",""
"/remont-gilotin-gatchina.html","2026-07-23 - 2026-08-23","9.00","0.00","0.00","4.11","","0.00","0.00","","3.00","0.00","0.00","2.33","","6.00","0.00","0.00","5.00","","0.00","0.00","","",""
"/blog-remont-cpu-stoiki.html","2026-07-23 - 2026-08-23","8.00","0.00","0.00","6.63","","0.00","0.00","","2.00","0.00","0.00","3.00","","6.00","0.00","0.00","7.83","","0.00","0.00","","",""
"/remont-listogibov-donetsk.html","2026-07-23 - 2026-08-23","8.00","12.00","150.00","2.00","3.50","4.00","2.00","50.00","3.00","5.00","166.67","2.00","2.00","1.00","5.00","500.00","6.00","6.00","0.00","0.00","","",""
"/remont-lentochnyh-pil-nizhniy-novgorod.html","2026-07-23 - 2026-08-23","8.00","0.00","0.00","14.38","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","7.00","0.00","0.00","15.86",""
"/remont-ruchnogo-trubogiba-nizhniy-novgorod.html","2026-07-23 - 2026-08-23","8.00","0.00","0.00","2.88","","4.00","0.00","0.00","1.00","0.00","0.00","2.00","","3.00","0.00","0.00","5.67","","0.00","0.00","","",""
"/remont-trubogibov-samara.html","2026-07-23 - 2026-08-23","8.00","4.00","50.00","3.38","1.75","1.00","1.00","100.00","4.00","3.00","75.00","2.50","2.00","3.00","0.00","0.00","5.33","","0.00","0.00","","",""
"/sravnenie-trubogibov-i-profilgebiv.html","2026-07-23 - 2026-08-23","8.00","0.00","0.00","7.63","","0.00","0.00","","1.00","0.00","0.00","3.00","","6.00","0.00","0.00","7.67","","1.00","0.00","0.00","12.00",""
"/remont-gilotin-kolpino.html","2026-07-23 - 2026-08-23","7.00","0.00","0.00","5.00","","0.00","0.00","","2.00","0.00","0.00","2.50","","4.00","0.00","0.00","4.75","","1.00","0.00","0.00","11.00",""
"/about.html","2026-07-23 - 2026-08-23","7.00","1.00","14.29","8.43","3.00","0.00","0.00","","2.00","1.00","50.00","2.50","3.00","2.00","0.00","0.00","8.50","","3.00","0.00","0.00","12.33",""
"/remont-trubogibov-kazan.html","2026-07-23 - 2026-08-23","7.00","0.00","0.00","5.29","","0.00","0.00","","1.00","0.00","0.00","2.00","","6.00","0.00","0.00","5.83","","0.00","0.00","","",""
"/blog-remont-gilotin.html","2026-07-23 - 2026-08-23","7.00","0.00","0.00","6.29","","0.00","0.00","","1.00","0.00","0.00","3.00","","6.00","0.00","0.00","6.83","","0.00","0.00","","",""
"/remont-lentochnyh-pil-vladimir.html","2026-07-23 - 2026-08-23","6.00","4.00","66.67","4.17","3.75","0.00","0.00","","2.00","2.00","100.00","3.00","3.00","4.00","2.00","50.00","4.75","4.50","0.00","0.00","","",""
"/remont-listogibov-vereshchagino.html","2026-07-23 - 2026-08-23","6.00","0.00","0.00","10.83","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","8.00","","4.00","0.00","0.00","12.25",""
"/remont-lentochnyh-pil-kulebaki.html","2026-07-23 - 2026-08-23","6.00","1.00","16.67","10.50","3.00","0.00","0.00","","1.00","1.00","100.00","3.00","3.00","3.00","0.00","0.00","5.67","","2.00","0.00","0.00","21.50",""
"/remont-lentochnyh-pil-tayshet.html","2026-07-23 - 2026-08-23","6.00","2.00","33.33","3.00","1.00","1.00","2.00","200.00","3.00","0.00","0.00","2.67","","2.00","0.00","0.00","4.50","","0.00","0.00","","",""
"/remont-listogibov-samara.html","2026-07-23 - 2026-08-23","5.00","0.00","0.00","3.60","","0.00","0.00","","2.00","0.00","0.00","3.00","","3.00","0.00","0.00","4.00","","0.00","0.00","","",""
"/remont-trubogibov-ekaterinburg.html","2026-07-23 - 2026-08-23","5.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","6.33","","2.00","0.00","0.00","13.00",""
"/remont-lentochnyh-pil-sterlitamak.html","2026-07-23 - 2026-08-23","5.00","0.00","0.00","8.80","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","8.80","","0.00","0.00","","",""
"/blog-remont-listogiba.html","2026-07-23 - 2026-08-23","5.00","1.00","20.00","7.80","9.00","0.00","0.00","","0.00","0.00","","","","4.00","1.00","25.00","7.00","9.00","1.00","0.00","0.00","11.00",""
