aleksandrov|Александров|Александрова|Александрову|Александрове
aprelevka|Апрелевка|Апрелевки|Апрелевке|Апрелевке
balabanovo|Балабаново|Балабанова|Балабанову|Балабанове
balashikha|Балашиха|Балашихи|Балашихе|Балашихе
beloozyorskiy|Белоозёрский|Белоозёрского|Белоозёрскому|Белоозёрском
belousovo|Белоусово|Белоусового|Белоусовому|Белоусовом
belyov|Белёв|Белёва|Белёву|Белёве
belyy|Белый|Белого|Белому|Белом
bezhetsk|Бежецк|Бежецка|Бежецку|Бежецке
bogoroditsk|Богородицк|Богородицка|Богородицку|Богородицке
bologoe|Бологое|Бологого|Бологому|Бологом
bolokhovo|Болохово|Болохова|Болохову|Болохове
borovsk|Боровск|Боровска|Боровску|Боровске
bronnitsy|Бронницы|Бронниц|Бронницам|Бронницах
chekalin|Чекалин|Чекалина|Чекалину|Чекалине
chekhov|Чехов|Чехова|Чехову|Чехове
chernogolovka|Черноголовка|Черноголовки|Черноголовке|Черноголовке
danilov|Данилов|Данилова|Данилову|Данилове
dedovsk|Дедовск|Дедовска|Дедовску|Дедовске
demidov|Демидов|Демидова|Демидову|Демидове
desnogorsk|Десногорск|Десногорска|Десногорску|Десногорске
dmitrov|Дмитров|Дмитрова|Дмитрову|Дмитрове
dolgoprudnyy|Долгопрудный|Долгопрудного|Долгопрудному|Долгопрудном
domodedovo|Домодедово|Домодедова|Домодедову|Домодедове
donskoy|Донской|Донского|Донскому|Донском
dorogobuzh|Дорогобуж|Дорогобужа|Дорогобужу|Дорогобуже
drezna|Дрезна|Дрезны|Дрезне|Дрезне
dubna|Дубна|Дубны|Дубне|Дубне
dukhovshchina|Духовщина|Духовщины|Духовщине|Духовщине
dzerzhinskiy|Дзержинский|Дзержинского|Дзержинскому|Дзержинском
efremov|Ефремов|Ефремова|Ефремову|Ефремове
elektrogorsk|Электрогорск|Электрогорска|Электрогорску|Электрогорске
elektrostal|Электросталь|Электростали|Электростали|Электростали
elektrougli|Электроугли|Электроуглей|Электроуглям|Электроуглях
ermolino|Ермолино|Ермолина|Ермолину|Ермолине
fryazino|Фрязино|Фрязина|Фрязину|Фрязине
gagarin|Гагарин|Гагарина|Гагарину|Гагарине
gavrilov-yam|Гаврилов-Ям|Гаврилова-Яма|Гаврилову-Яму|Гавриловом-Яме
golitsyno|Голицыно|Голицына|Голицыну|Голицыне
gorokhovets|Гороховец|Гороховца|Гороховцу|Гороховце
gus-khrustalnyy|Гусь-Хрустальный|Гуся-Хрустального|Гусю-Хрустальному|Гусе-Хрустальном
istra|Истра|Истры|Истре|Истре
ivanteevka|Ивантеевка|Ивантеевки|Ивантеевке|Ивантеевке
kaluga|Калуга|Калуги|Калуге|Калуге
kalyazin|Калязин|Калязина|Калязину|Калязине
kameshkovo|Камешково|Камешкова|Камешкову|Камешкове
karabanovo|Карабаново|Карабанова|Карабанову|Карабанове
kashin|Кашин|Кашина|Кашину|Кашине
kashira|Кашира|Каширы|Кашире|Кашире
kasimov|Касимов|Касима|Касиму|Касиме
khimki|Химки|Химок|Химкам|Химках
khotkovo|Хотьково|Хотькова|Хотькову|Хотькове
kimovsk|Кимовск|Кимовска|Кимовску|Кимовске
kimry|Кимры|Кимр|Кимрам|Кимрах
kireevsk|Киреевск|Киреевска|Киреевску|Киреевске
kirov|Киров|Кирова|Кирову|Кирове
kirzhach|Киржач|Киржача|Киржачу|Киржаче
klin|Клин|Клина|Клину|Клине
kolchugino|Кольчугино|Кольчугина|Кольчугину|Кольчугине
kolomna|Коломна|Коломны|Коломне|Коломне
konakovo|Конаково|Конакова|Конакову|Конакове
kondrovo|Кондрово|Кондрова|Кондрову|Кондрове
korablino|Кораблино|Кораблина|Кораблину|Кораблине
korolyov|Королёв|Королёва|Королёву|Королёве
kosteryovo|Костерёво|Костерёва|Костерёву|Костерёве
kotelniki|Котельники|Котельников|Котельникам|Котельниках
kovrov|Ковров|Коврова|Коврову|Коврове
kozelsk|Козельск|Козельска|Козельску|Козельске
krasnoarmeysk|Красноармейск|Красноармейска|Красноармейску|Красноармейске
krasnogorsk|Красногорск|Красногорска|Красногорску|Красногорске
krasnozavodsk|Краснозаводск|Краснозаводска|Краснозаводску|Краснозаводске
krasnoznamensk|Краснознаменск|Краснознаменска|Краснознаменску|Краснознаменске
krasnyy-kholm|Красный Холм|Красного Холма|Красному Холму|Красном Холме
kremyonki|Кремёнки|Кремёнок|Кремёнкам|Кремёнках
kubinka|Кубинка|Кубинки|Кубинке|Кубинке
kurlovo|Курлово|Курлова|Курлову|Курлове
kurovskoe|Куровское|Куровского|Куровскому|Куровском
kuvshinovo|Кувшиново|Кувшинова|Кувшинову|Кувшинове
lakinsk|Лакинск|Лакинска|Лакинску|Лакинске
likhoslavl|Лихославль|Лихославля|Лихославлю|Лихославле
likino-dulyovo|Ликино-Дулёво|Ликино-Дулёва|Ликино-Дулёву|Ликино-Дулёве
lipki|Липки|Липок|Липкам|Липках
lobnya|Лобня|Лобни|Лобне|Лобне
losino-petrovskiy|Лосино-Петровский|Лосино-Петровского|Лосино-Петровскому|Лосино-Петровском
lukhovitsy|Луховицы|Луховиц|Луховицам|Луховицах
lytkarino|Лыткарино|Лыткарина|Лыткарину|Лыткарине
lyubertsy|Люберцы|Люберец|Люберцам|Люберцах
lyubim|Любим|Любима|Любиму|Любиме
lyudinovo|Людиново|Людинова|Людинову|Людинове
maloyaroslavets|Малоярославец|Малоярославца|Малоярославцу|Малоярославце
medyn|Медынь|Медыни|Медыни|Медыни
melenki|Меленки|Меленок|Меленкам|Меленках
meshchovsk|Мещовск|Мещовска|Мещовску|Мещовске
mikhaylov|Михайлов|Михайлова|Михайлову|Михайлове
mosalsk|Мосальск|Мосальска|Мосальску|Мосальске
moskovskiy|Московский|Московского|Московскому|Московском
moskva|Москва|Москвы|Москве|Москве
mozhaysk|Можайск|Можайска|Можайску|Можайске
murom|Муром|Мура|Муру|Муре
myshkin|Мышкин|Мышкина|Мышкину|Мышкине
mytishchi|Мытищи|Мытищ|Мытищам|Мытищах
naro-fominsk|Наро-Фоминск|Наро-Фоминска|Наро-Фоминску|Наро-Фоминске
nelidovo|Нелидово|Нелидова|Нелидову|Нелидове
noginsk|Ногинск|Ногинска|Ногинску|Ногинске
novomichurinsk|Новомичуринск|Новомичуринска|Новомичуринску|Новомичуринске
novomoskovsk|Новомосковск|Новомосковска|Новомосковску|Новомосковске
obninsk|Обнинск|Обнинска|Обнинску|Обнинске
odintsovo|Одинцово|Одинцова|Одинцову|Одинцове
orekhovo-zuevo|Орехово-Зуево|Орехово-Зуева|Орехово-Зуеву|Орехово-Зуеве
ostashkov|Осташков|Осташкова|Осташкову|Осташкове
ozyory|Озёры|Озёр|Озёрам|Озёрах
pavlovskiy-posad|Павловский Посад|Павловского Посада|Павловскому Посаду|Павловском Посаде
pereslavl-zalesskiy|Переславль-Залесский|Переславля-Залесского|Переславлю-Залесскому|Переславле-Залесском
peresvet|Пересвет|Пересвета|Пересвету|Пересвете
petushki|Петушки|Петушков|Петушкам|Петушках
plavsk|Плавск|Плавска|Плавску|Плавске
podolsk|Подольск|Подольска|Подольску|Подольске
pokrov|Покров|Покрова|Покрову|Покрове
poshekhone|Пошехонье|Пошехонья|Пошехонью|Пошехонье
protvino|Протвино|Протвина|Протвину|Протвине
pushchino|Пущино|Пущина|Пущину|Пущине
pushkino|Пушкино|Пушкина|Пушкину|Пушкине
raduzhnyy|Радужный|Радужного|Радужному|Радужном
ramenskoe|Раменское|Раменского|Раменскому|Раменском
reutov|Реутов|Реутова|Реутову|Реутове
roshal|Рошаль|Рошаля|Рошалю|Рошале
